"統計名：","人口推計 各月1日現在人口 概算値"
"表番号：","001"
"表題：","[概算値] 年齢（５歳階級），男女，月別人口－総人口（各月１日現在）-令和２年国勢調査基準-"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","該当数値がないもの"
"-","該当数値がないもの　"

"","","","","","","","","","","","","","","","","","","/男女別 コード","000","001","002"
"","","","","","","","","","","","","","","","","","","/男女別 補助コード","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","人口 コード","人口 補助コード","人口","概算値 コード","概算値 補助コード","概算値","全国 コード","全国 補助コード","全国","時間軸（年月日現在） コード","時間軸（年月日現在） 補助コード","時間軸（年月日現在）","年齢5歳階級 コード","年齢5歳階級 補助コード","年齢5歳階級","/男女別","男女計","男","女"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01017","","80～84歳","","570","237","332"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01018","","85～89歳","","394","142","252"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01019","","90～94歳","","197","56","142"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01020","","95～99歳","","57","11","45"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01021","","100歳以上","","9","1","8"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","02000","","（再掲）15歳未満","","1,460","748","712"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01023","","（再掲）15～64歳","","7,407","3,750","3,656"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01024","","（再掲）65歳以上","","3,626","1,574","2,052"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01026","","（再掲）うち75歳以上","","1,912","754","1,158"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2022000606","","2022年6月","01027","","（再掲）うち85歳以上","","657","210","447"
